StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
0050,3732049,5260,442410377,118.5,118.75,118.2,118.65,0.55,2023-03-21
0051,32859,158,1844752,56.0,56.3,56.0,56.15,0.55,2023-03-21
0052,159881,211,16946680,106.2,106.25,105.85,106.2,0.55,2023-03-21
0053,3980,912,234403,59.25,59.25,59.0,59.2,0.25,2023-03-21
0055,251918,275,5415931,21.44,21.6,21.38,21.46,0.2,2023-03-21
0056,10477157,6221,291794980,27.8,27.9,27.8,27.84,0.08,2023-03-21
0057,3879,882,332565,86.0,86.0,85.9,85.95,0.25,2023-03-21
0061,54650,266,1034854,18.87,18.97,18.87,18.96,0.11,2023-03-21
006203,6641,611,378347,56.95,57.25,56.9,57.05,0.15,2023-03-21
006204,25930,967,2016148,77.8,77.85,77.7,77.7,0.25,2023-03-21
006205,775813,165,24509625,31.58,31.76,31.55,31.76,0.21,2023-03-21
006206,118104,521,3555908,30.44,30.44,30.02,30.29,0.28,2023-03-21
006207,186495,1009,4613485,24.61,24.84,24.61,24.84,0.18,2023-03-21
006208,1756700,2220,120390057,68.55,68.75,68.4,68.5,0.3,2023-03-21
00625K,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-21
00631L,2914249,1281,325275497,111.6,112.15,111.0,111.5,1.35,2023-03-21
00632R,120372038,5005,643808684,5.35,5.37,5.33,5.35,-0.03,2023-03-21
00633L,5396065,1573,203496499,37.57,38.23,37.32,38.2,0.91,2023-03-21
00634R,415000,31,1866900,4.51,4.53,4.48,4.48,-0.05,2023-03-21
00635U,1227555,463,30905362,25.17,25.22,25.14,25.17,0.05,2023-03-21
00636,1732924,1247,36943126,21.24,21.46,21.22,21.46,0.31,2023-03-21
00636K,200,2,1394,6.97,6.97,6.97,6.97,0.04,2023-03-21
00637L,61629760,7272,914907670,14.8,15.05,14.71,15.05,0.37,2023-03-21
00638R,1017058,83,9736816,9.59,9.59,9.52,9.52,-0.07,2023-03-21
00639,881041,257,11191427,12.64,12.8,12.64,12.8,0.16,2023-03-21
00640L,131113,61,3686375,28.21,28.21,28.02,28.04,0.23,2023-03-21
00641R,189000,28,1809600,9.57,9.59,9.57,9.59,-0.06,2023-03-21
00642U,7184880,1596,102381044,14.28,14.31,14.18,14.26,0.19,2023-03-21
00643,902673,1122,13311034,14.61,14.78,14.61,14.78,0.12,2023-03-21
00643K,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-21
00645,26788,762,693356,25.95,25.95,25.87,25.87,0.12,2023-03-21
