StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
0050,15003597,14407,1807359927,119.45,120.9,119.45,120.9,2.25,2023-03-22
0051,33093,165,1870679,56.4,56.7,56.4,56.65,0.5,2023-03-22
0052,338999,608,36647318,107.3,108.5,107.3,108.4,2.2,2023-03-22
0053,15037,1021,905641,60.0,60.55,60.0,60.55,1.35,2023-03-22
0055,289504,308,6278716,21.52,21.79,21.52,21.77,0.31,2023-03-22
0056,19083942,8393,534849616,27.91,28.08,27.91,28.05,0.21,2023-03-22
0057,1999,999,173568,87.6,87.6,87.6,87.6,1.65,2023-03-22
0061,58018,760,1102900,19.04,19.08,19.0,19.02,0.06,2023-03-22
006203,2598,943,149644,58.3,58.3,58.3,58.3,1.25,2023-03-22
006204,23975,973,1889986,78.7,78.9,78.7,78.9,1.2,2023-03-22
006205,1208660,318,38415802,31.93,31.93,31.69,31.69,-0.07,2023-03-22
006206,323497,1150,9799242,30.3,30.33,30.23,30.23,-0.06,2023-03-22
006207,107463,12,2672698,24.85,24.92,24.85,24.88,0.04,2023-03-22
006208,3675354,3685,256030470,69.05,69.85,69.05,69.8,1.3,2023-03-22
00625K,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-22
00631L,4502782,2775,516003441,113.5,115.4,113.45,115.35,3.85,2023-03-22
00632R,261765385,14750,1382571878,5.31,5.32,5.26,5.26,-0.09,2023-03-22
00633L,8118208,1663,314011040,38.42,38.95,38.28,38.37,0.17,2023-03-22
00634R,825000,77,3671680,4.47,4.47,4.43,4.46,-0.02,2023-03-22
00635U,1252571,490,30900734,24.7,24.71,24.61,24.62,-0.55,2023-03-22
00636,1733287,754,37289036,21.45,21.62,21.45,21.48,0.02,2023-03-22
00636K,200,2,1408,7.04,7.04,7.04,7.04,0.07,2023-03-22
00637L,63755506,8096,968264546,15.12,15.32,15.07,15.09,0.04,2023-03-22
00638R,1766000,76,16618330,9.45,9.46,9.37,9.45,-0.07,2023-03-22
00639,1521602,1164,19544584,12.85,12.94,12.83,12.83,0.03,2023-03-22
00640L,483399,117,13840299,28.59,28.75,28.48,28.72,0.68,2023-03-22
00641R,1847399,141,17507667,9.5,9.5,9.45,9.46,-0.13,2023-03-22
00642U,8847641,2220,129342622,14.65,14.65,14.56,14.62,0.36,2023-03-22
00643,1436506,575,21448425,14.85,15.0,14.85,14.91,0.13,2023-03-22
00643K,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-22
00645,48407,1045,1266353,26.14,26.2,26.11,26.18,0.31,2023-03-22
00646,1372836,430,52095270,37.77,39.0,37.76,37.85,0.38,2023-03-22
00647L,431291,153,22782601,52.85,52.9,52.65,52.9,1.35,2023-03-22
00648R,3245600,253,23548750,7.27,7.27,7.24,7.25,-0.1,2023-03-22
00650L,17258669,2039,223222637,12.61,13.12,12.61,12.9,0.53,2023-03-22
00651R,1440034,135,12226835,8.56,8.58,8.43,8.53,-0.19,2023-03-22
00652,243792,1134,6839618,28.03,28.12,28.0,28.05,0.06,2023-03-22
00653L,325220,162,12865840,39.6,39.8,39.43,39.5,0.28,2023-03-22
00654R,291000,45,2428300,8.39,8.39,8.33,8.34,-0.06,2023-03-22
00655L,2478100,785,67618910,27.15,27.55,27.07,27.13,0.13,2023-03-22
00656R,997000,28,8387880,8.44,8.44,8.36,8.43,-0.03,2023-03-22
00657,136955,960,4475981,32.52,32.74,32.52,32.74,0.4,2023-03-22
00657K,200,2,2144,10.72,10.72,10.72,10.72,0.13,2023-03-22
00660,5419,925,164751,30.46,30.59,30.46,30.59,0.36,2023-03-22
00661,1969,943,68045,35.08,35.08,35.08,35.08,0.4,2023-03-22
00662,1712020,737,85862826,49.82,50.25,49.82,50.2,0.63,2023-03-22
00663L,19015,14,2013228,104.85,106.3,104.85,106.15,3.55,2023-03-22
00664R,14710774,1247,87695654,6.0,6.0,5.94,5.95,-0.09,2023-03-22
00665L,35952806,3649,288708409,7.83,8.17,7.83,7.97,0.31,2023-03-22
00666R,630000,78,9315240,15.18,15.18,14.69,14.87,-0.31,2023-03-22
00668,68145,927,2458266,36.05,36.11,36.02,36.1,0.25,2023-03-22
00668K,200,2,2362,11.81,11.81,11.81,11.81,0.1,2023-03-22
00669R,10695050,710,87537589,8.2,8.2,8.18,8.18,-0.08,2023-03-22
00670L,2522030,1114,160186212,63.5,63.65,63.4,63.5,1.6,2023-03-22
00671R,9595023,904,54561100,5.7,5.7,5.68,5.68,-0.08,2023-03-22
00673R,8809277,1043,86412800,9.81,9.85,9.78,9.8,-0.31,2023-03-22
00674R,1851754,324,22592342,12.18,12.23,12.17,12.23,0.23,2023-03-22
00675L,965109,784,44455166,45.65,46.39,45.65,46.37,1.47,2023-03-22
00676R,10169342,739,33361432,3.3,3.3,3.27,3.27,-0.06,2023-03-22
00678,304241,973,7520127,24.7,24.73,24.7,24.72,-0.03,2023-03-22
00680L,28951168,4587,346289140,11.98,11.99,11.91,11.93,-0.33,2023-03-22
00681R,335000,89,6001780,17.93,17.95,17.89,17.93,0.19,2023-03-22
00682U,22631,19,463520,20.5,20.51,20.5,20.5,-0.03,2023-03-22
00683L,862722,274,18552477,21.54,21.54,21.48,21.51,-0.07,2023-03-22
00684R,4000,2,64360,16.09,16.09,16.09,16.09,0.04,2023-03-22
00685L,145572,77,5947344,40.48,41.11,40.48,41.08,1.35,2023-03-22
00686R,586500,77,2085905,3.58,3.58,3.55,3.55,-0.06,2023-03-22
00688L,3000026,607,35619898,11.89,11.91,11.83,11.87,-0.3,2023-03-22
00689R,99000,19,1839730,18.6,18.6,18.57,18.59,0.18,2023-03-22
00690,245918,626,6806687,27.77,27.77,27.6,27.65,0.33,2023-03-22
00692,2415181,1642,72090745,29.65,29.95,29.65,29.92,0.49,2023-03-22
00693U,111000,66,2903390,26.28,26.28,26.11,26.18,-0.29,2023-03-22
00700,311890,800,3934360,12.45,12.7,12.45,12.59,0.31,2023-03-22
00701,901073,598,20248626,22.44,22.5,22.4,22.48,0.1,2023-03-22
00702,105298,11,2131331,20.27,20.27,20.24,20.24,0.05,2023-03-22
00703,89094,830,1412080,15.87,15.94,15.8,15.8,0.31,2023-03-22
00706L,2135022,319,21258750,9.98,9.99,9.91,9.96,-0.18,2023-03-22
00707R,1000,1,23800,23.8,23.8,23.8,23.8,0.13,2023-03-22
00708L,2283229,596,62295504,27.36,27.38,27.16,27.18,-1.2,2023-03-22
00709,46102,991,1093779,23.7,23.76,23.7,23.76,0.38,2023-03-22
00710B,562439,272,9836997,17.51,17.53,17.47,17.5,-0.01,2023-03-22
00711B,124281,953,1974023,15.92,15.92,15.85,15.89,-0.01,2023-03-22
00712,8765229,3488,86007657,9.83,9.83,9.79,9.81,0.05,2023-03-22
00713,6694177,4652,263598744,39.3,39.45,39.26,39.44,0.31,2023-03-22
00714,498134,429,8898794,17.94,17.94,17.82,17.87,-0.06,2023-03-22
00715L,49586513,6356,589089569,11.91,11.93,11.79,11.88,0.47,2023-03-22
00717,244538,345,3488056,14.27,14.3,14.24,14.27,0.12,2023-03-22
00728,588554,636,13902138,23.52,23.67,23.52,23.66,0.33,2023-03-22
00730,124680,157,2371940,19.01,19.05,19.01,19.02,0.09,2023-03-22
00731,1057256,193,59014192,55.4,55.85,55.4,55.8,0.4,2023-03-22
00732,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-22
00733,119095,176,4285661,35.96,36.06,35.91,36.0,0.39,2023-03-22
00735,111492,969,2952678,26.29,26.57,26.29,26.56,0.34,2023-03-22
00736,104995,1000,1993831,18.94,19.0,18.94,18.99,0.15,2023-03-22
00737,47248,756,1285005,27.17,27.22,27.17,27.22,0.4,2023-03-22
00738U,716222,180,15842445,22.15,22.16,22.07,22.07,-0.15,2023-03-22
00739,10827,862,252842,23.45,23.45,23.32,23.32,0.18,2023-03-22
00752,3291977,916,59936992,17.93,18.33,17.93,18.13,0.31,2023-03-22
00753L,18999701,3108,201224972,10.42,10.73,10.42,10.52,0.33,2023-03-22
00757,1674317,1222,72622885,43.15,43.48,43.15,43.43,0.68,2023-03-22
00762,246431,219,8946144,36.3,36.33,36.29,36.31,0.39,2023-03-22
00763U,28000,11,707160,25.24,25.27,25.2,25.2,0.26,2023-03-22
00770,692048,1236,19589666,28.27,28.33,28.26,28.3,0.33,2023-03-22
00771,50904,862,803686,15.79,15.82,15.75,15.79,0.12,2023-03-22
00775B,2246,882,74790,33.53,33.53,33.53,33.53,-0.03,2023-03-22
00783,73000,4,1548200,21.22,21.22,21.14,21.14,0.07,2023-03-22
00830,3313823,1695,91578193,27.58,27.66,27.58,27.65,0.07,2023-03-22
00850,926510,551,28813651,30.79,31.17,30.79,31.17,0.48,2023-03-22
00851,154541,917,4074029,26.48,26.5,26.08,26.48,0.23,2023-03-22
00852L,1704830,291,30798747,18.05,18.09,18.04,18.09,0.32,2023-03-22
00861,1256438,474,35720133,28.37,28.5,28.36,28.43,0.1,2023-03-22
00865B,104229,945,4210469,40.4,40.41,40.4,40.41,-0.1,2023-03-22
00875,230718,104,5832125,25.2,25.31,25.2,25.28,0.38,2023-03-22
00876,1287513,604,35460990,27.44,27.63,27.13,27.59,0.29,2023-03-22
00878,60504029,20082,1033600867,16.99,17.12,16.99,17.1,0.17,2023-03-22
00881,14083313,4233,214235662,15.11,15.24,15.11,15.24,0.23,2023-03-22
00882,9369377,2425,113653938,12.07,12.17,12.05,12.12,0.08,2023-03-22
00885,21908782,3252,242791132,10.99,11.15,10.99,11.11,0.15,2023-03-22
00891,15228439,4161,204449185,13.35,13.47,13.35,13.46,0.22,2023-03-22
00892,4002048,1118,49270799,12.26,12.35,12.25,12.34,0.21,2023-03-22
00893,18902803,4717,261939962,13.81,13.89,13.81,13.85,0.24,2023-03-22
00894,1903948,617,26139498,13.67,13.78,13.65,13.76,0.26,2023-03-22
00895,4893459,1291,72645605,14.77,14.86,14.77,14.85,0.34,2023-03-22
00896,2419225,730,34909176,14.3,14.46,14.3,14.44,0.16,2023-03-22
00897,1483495,242,11110910,7.48,7.5,7.48,7.5,0.02,2023-03-22
00898,965524,225,6913111,7.13,7.17,7.13,7.17,0.07,2023-03-22
