StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
00708L,3066157,715,86318997,28.09,28.26,28.04,28.25,1.24,2023-03-20
00709,34168,997,782354,22.98,22.98,22.91,22.95,-0.41,2023-03-20
00710B,572174,222,10145233,17.79,17.79,17.71,17.73,-0.07,2023-03-20
00711B,189578,1017,3047905,16.07,16.11,16.07,16.07,-0.03,2023-03-20
00712,19134707,5454,188428413,9.84,9.94,9.81,9.92,0.07,2023-03-20
00713,8822425,6314,343019069,39.0,39.01,38.83,38.87,0.07,2023-03-20
00714,1030282,870,18423284,18.0,18.01,17.82,17.82,-0.34,2023-03-20
00715L,117232004,18277,1330340191,11.5,11.58,11.11,11.12,-0.94,2023-03-20
00717,305042,702,4334514,14.16,14.35,14.15,14.22,-0.19,2023-03-20
00728,142360,1433,3313942,23.38,23.38,23.21,23.21,-0.07,2023-03-20
00730,84208,151,1595541,18.96,19.0,18.89,18.92,-0.04,2023-03-20
00731,1157881,211,63827721,55.05,55.2,55.0,55.15,-0.2,2023-03-20
00732,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
00733,144371,146,5088757,35.13,35.34,35.13,35.32,0.27,2023-03-20
00735,123435,894,3227491,26.19,26.19,26.15,26.15,-0.09,2023-03-20
00736,104076,1000,1962978,18.87,18.87,18.83,18.83,-0.26,2023-03-20
00737,229151,699,6155097,27.42,27.42,26.77,26.84,-0.24,2023-03-20
00738U,941254,329,20753561,22.1,22.1,21.99,22.03,0.33,2023-03-20
00739,67069,828,1552367,23.31,23.31,23.04,23.06,-0.39,2023-03-20
00752,4862559,1647,86643352,18.16,18.16,17.7,17.76,-0.4,2023-03-20
00753L,24193094,4461,247548533,10.52,10.52,10.07,10.08,-0.47,2023-03-20
00757,671635,658,28735528,42.88,42.88,42.7,42.74,-0.14,2023-03-20
00762,247419,201,8887974,36.0,36.04,35.8,35.82,-0.14,2023-03-20
00763U,30000,17,744170,24.93,24.93,24.68,24.71,-0.13,2023-03-20
00770,406064,786,11355640,28.03,28.05,27.82,27.91,-0.05,2023-03-20
00771,124862,1027,1953707,15.58,15.75,15.58,15.65,-0.2,2023-03-20
00775B,52644,1007,1757562,33.42,33.42,33.4,33.4,-0.1,2023-03-20
00783,90042,4,1883690,20.92,20.92,20.92,20.92,-0.22,2023-03-20
00830,3799135,1397,104075838,27.44,27.44,27.31,27.34,-0.15,2023-03-20
00850,559029,567,17092515,30.65,30.68,30.49,30.55,-0.09,2023-03-20
00851,17947,1011,471302,26.4,26.4,26.18,26.26,-0.37,2023-03-20
00852L,1806198,472,31425571,17.56,17.56,17.27,17.31,-0.47,2023-03-20
00861,131285,114,3677060,28.0,28.15,27.91,27.93,-0.24,2023-03-20
00865B,107367,1003,4345693,40.46,40.5,40.46,40.47,-0.01,2023-03-20
00875,404441,151,10069659,25.07,25.07,24.8,24.82,-0.27,2023-03-20
00876,234029,165,6342638,26.95,27.3,26.95,27.05,-0.06,2023-03-20
00878,80954383,46984,1365805335,16.92,16.95,16.84,16.86,-0.06,2023-03-20
00881,5498422,2251,82146473,14.97,15.0,14.9,14.91,-0.06,2023-03-20
00882,14849503,3933,179333161,12.15,12.2,12.01,12.04,-0.1,2023-03-20
00885,26204238,7790,290570847,11.2,11.2,11.03,11.04,-0.16,2023-03-20
00891,12328158,3187,163999154,13.29,13.38,13.25,13.27,-0.03,2023-03-20
00892,3357106,637,40901098,12.18,12.23,12.14,12.15,0.01,2023-03-20
00893,5366493,1766,72528585,13.57,13.57,13.49,13.5,-0.09,2023-03-20
00894,1686625,322,22724100,13.44,13.5,13.44,13.46,0.04,2023-03-20
00895,1332995,519,19222629,14.5,14.5,14.37,14.4,-0.14,2023-03-20
00896,1136038,437,16174981,14.25,14.28,14.21,14.25,0.0,2023-03-20
00897,2440744,412,18243728,7.53,7.53,7.45,7.47,-0.08,2023-03-20
00898,859918,351,6091037,7.13,7.13,7.07,7.09,-0.08,2023-03-20
